Rk,Player,Twitter
1,Alexis Ajinça,AjincaAlexis42
2,Morris Almond,FreeMoAlmond
3,Giannis Antetokounmpo,Giannis_An34
4,Ömer Aşık,AsikOmer
5,Gustavo Ayón,Gustavo_Ayon15
6,Leandro Barbosa,TheBlurBarbosa
7,Andrea Bargnani,AndreaBargnani
8,Nicolas Batum,nicolas88batum
9,Marco Belinelli,marcobelinelli
10,Jonathan Bender,jonathanbender9
11,Keith Benson,RealKITO
12,Bismack Biyombo,bismackbiyombo
13,Andray Blatche,drayblatche
14,Craig Brackins,Cbrackins_33
15,Primož Brezec,Primozbrezec
16,Jon Brockman,MrJonBrockman
17,Derrick Brown,D_Brown4
18,Derrick Caracter,RebuildCaracter
19,Omri Casspi,Casspi18
20,Tyson Chandler,tysonchandler
21,Victor Claver,Victor_Claver
22,Sherron Collins,SHERRONCOLLINS4
23,Daequan Cook,DC4Three
24,Joe Crawford,JoeCrawford5
25,Zabian Dowdell,zayrd1
26,Goran Dragić,Goran_Dragic
27,Devin Ebanks,DevinEbanks3
28,Patrick Ewing,pewingjr6
29,Christian Eyenga,christeyenga31
30,Festus Ezeli,festus
31,Evan Fournier,EvanFourmizz
32,J.R. Giddens,JGidd4
33,Rudy Gobert,rudygobert27
34,Marcin Gortat,MGortat
35,Donté Greene,dontegreeneCOS
36,Taylor Griffin,tgriff32
37,Hamed Haddadi,HamedHaddadi15
38,Ben Hansbrough,bhans23
39,Justin Harper,Tru_Harp32
40,Terrel Harris,T_Harris87
41,Cory Higgins,chiggins11
42,Nenê,NeneHilario42
43,Darington Hobson,ParkaySmooth
44,Tyler Honeycutt,thoneycutt23
45,Dennis Horner,DHorner31
46,Lester Hudson,Lester26Hudson
47,Chris Hunter,biggame_hunter
48,Ersan İlyasova,Ersan
49,Darnell Jackson,DBlock_Official
50,Stephen Jackson,DaTrillStak5
51,Damion James,KONJames10
52,Othyus Jeffers,OthyusTheGreat
53,Jonas Jerebko,JonasJerebko
54,Eugene Jeter,PoohJeter
55,Amir Johnson,IamAmirJohnson
56,Armon Johnson,AJALLDAY1
57,Darius Johnson-Odom,KingMe_DJ1
58,DeQuan Jones,DequanMJones
59,Kris Joseph,RealKrisJo
60,Travis Leslie,FlightLeslie23
61,Shaun Livingston,ShaunLivingston
62,Scott Machado,_ScottMachado
63,Vernon Macklin,vernon_macklin
64,Ian Mahinmi,ianmahinmi
65,C.J. Miles,masfresco
66,Earl Monroe,EarlThePearl_15
67,Donatas Motiejūnas,DonatasMot
68,Kevin Murphy,KMurph_55
69,Boštjan Nachbar,BokiNachbar
70,Nerlens Noel,NerlensNoel3
71,Lucas Nogueira,Bebe92
72,Jermaine O'Neal,jermaineoneal
73,Charles Oakley,CharlesOakley34
74,Fabricio Oberto,obricio7
75,Zaza Pachulia,zaza27
76,Jeremy Pargo,ImJustPargo
77,Kendrick Perkins,KendrickPerkins
78,Mickaël Piétrus,MickaelPietrus
79,Pablo Prigioni,PPrigioni9
80,Dennis Rodman,dennisrodman
81,Dennis Schröder,DS17_FG
82,Thabo Sefolosha,ThaboSefolosha
83,Kevin Séraphin,french_savage
84,Tornike Shengelia,TokoShengelia23
85,Xavier Silas,XavierSilas
86,Garret Siler,Big_G_21
87,Sean Singletary,SeanSingletary
88,Jerry Smith,JSmith_8
89,Nolan Smith,NdotSmitty
90,Amar'e Stoudemire,Amareisreal
91,Jermaine Taylor,jtaylor8ball
92,Mirza Teletović,Teletovic33
93,Mychel Thompson,MychelThompson
94,Alando Tucker,DoeTuck
95,Hedo Türkoğlu,hidoturkoglu15
96,Jeremy Tyler,jeremytyler3
97,Beno Udrih,BenoUdrih1
98,Anderson Varejão,VAREJAOANDERSON
